L,Temperatura,Beta,Magnetizacion,Energia,Susceptibilidad,Calor_Especifico,Varianza_Magnetizacion,Varianza_Energia,Termalizacion_Pasos,Mediciones_Pasos
64,1.73750000,0.57553957,0.96535191,-1.88420150,0.08242038,0.37403536,0.00003496,0.00027568,2000,50000
64,1.78248126,0.56101572,0.95949545,-1.86680887,0.10471938,0.42171593,0.00004557,0.00032712,2000,50000
64,1.82558830,0.54776863,0.95243648,-1.84737777,0.13477487,0.46807180,0.00006007,0.00038085,2000,50000
64,1.86682112,0.53566996,0.94504499,-1.82712678,0.16592391,0.51985478,0.00007562,0.00044231,2000,50000
64,1.90617972,0.52460951,0.93694170,-1.80604553,0.20426042,0.57257382,0.00009506,0.00050792,2000,50000
64,1.94366410,0.51449219,0.92861629,-1.78462000,0.23873952,0.62510589,0.00011329,0.00057655,2000,50000
64,1.97927426,0.50523569,0.91755153,-1.75988543,0.38492861,0.70501387,0.00018601,0.00067429,2000,50000
64,2.01301020,0.49676847,0.90705421,-1.73619137,0.42080735,0.75187730,0.00020681,0.00074384,2000,500000
64,2.04487193,0.48902818,0.89471130,-1.71085516,0.55892772,0.82461341,0.00027904,0.00084183,2000,500000
64,2.07485943,0.48196036,0.88118020,-1.68493671,0.75370868,0.89272800,0.00038180,0.00093829,2000,500000
64,2.10297272,0.47551734,0.86830285,-1.66025980,0.89400415,0.96482919,0.00045900,0.00104174,2000,500000
64,2.12921179,0.46965737,0.85060279,-1.63252167,1.56937044,1.06347239,0.00081580,0.00117707,2000,500000
64,2.15357663,0.46434382,0.83320739,-1.60579980,1.79853105,1.14464106,0.00094562,0.00129607,2000,500000
64,2.17606726,0.45954462,0.81202153,-1.57851163,3.03070946,1.27540964,0.00161011,0.00147446,2000,500000
64,2.19668367,0.45523168,0.78646567,-1.55010406,5.15723940,1.40846339,0.00276583,0.00165928,2000,500000
64,2.21542586,0.45138048,0.75850860,-1.52272353,8.37526270,1.56813313,0.00452997,0.00187905,2000,500000
64,2.23229384,0.44796970,0.73479057,-1.49781340,8.56598038,1.61213043,0.00466840,0.00196130,2000,500000
64,2.24728759,0.44498088,0.67626540,-1.46642993,31.40758045,2.04505310,0.01723190,0.00252152,2000,500000
64,2.26040712,0.44239818,0.63756593,-1.44314446,40.61858602,2.09306723,0.02241566,0.00261094,2000,500000
64,2.27165244,0.44020819,0.57031773,-1.41625158,65.18592762,2.30397873,0.03615229,0.00290270,2000,500000
64,2.28102353,0.43839969,0.55307539,-1.39999521,53.30669954,2.16196147,0.02968600,0.00274630,2000,500000
64,2.28852041,0.43696355,0.50942174,-1.38372853,65.11591518,2.29591477,0.03638162,0.00293566,2000,500000
64,2.29414307,0.43589261,0.48485990,-1.37142481,65.49806296,2.18680351,0.03668504,0.00280990,2000,500000
64,2.29789150,0.43518156,0.44530817,-1.36065124,73.85281615,2.23544496,0.04143207,0.00288179,2000,500000
64,2.29976572,0.43482690,0.40190110,-1.35178062,77.64791209,2.12159200,0.04359668,0.00273949,2000,500000
64,2.30023428,0.43473833,0.41188000,-1.35168339,71.89961651,2.10332744,0.04037743,0.00271701,2000,500000
64,2.30210850,0.43438439,0.43278308,-1.35256850,66.88454952,2.06964301,0.03759167,0.00267786,2000,500000
64,2.30585693,0.43367825,0.39419952,-1.34321713,73.50111488,2.04530945,0.04137770,0.00265500,2000,500000
64,2.31147959,0.43262333,0.35662827,-1.32903539,68.22575613,1.85918823,0.03850157,0.00242518,2000,500000
64,2.31897647,0.43122473,0.35126175,-1.32003654,65.56055892,1.90329909,0.03711753,0.00249885,2000,500000
64,2.32834756,0.42948914,0.31496381,-1.30215656,56.21744268,1.68207506,0.03195648,0.00222629,2000,500000
64,2.33959288,0.42742479,0.28697141,-1.28584171,52.51581576,1.60237481,0.02999649,0.00214134,2000,500000
64,2.35271241,0.42504132,0.22151229,-1.26283627,38.04045337,1.34726282,0.02185016,0.00182067,2000,500000
64,2.36770616,0.42234971,0.18907233,-1.24295687,31.39364232,1.26735517,0.01814720,0.00173458,2000,500000
64,2.38457414,0.41936209,0.17860801,-1.22243969,25.19886925,1.20795252,0.01467006,0.00167692,2000,500000
64,2.40331633,0.41609171,0.15839426,-1.20013271,20.82545345,1.11916840,0.01221928,0.00157818,2000,500000
64,2.42393274,0.41255270,0.13095117,-1.17757690,15.27382147,1.03171304,0.00903875,0.00147993,2000,500000
64,2.44642337,0.40875999,0.12148546,-1.15486096,13.10524651,0.97248335,0.00782739,0.00142097,2000,500000
64,2.47078821,0.40472914,0.11648655,-1.13266365,12.01115105,0.92658147,0.00724536,0.00138100,2000,500000
64,2.49702728,0.40047620,0.10159545,-1.10886258,9.06049160,0.85496655,0.00552351,0.00130147,2000,500000
64,2.52514057,0.39601756,0.09101470,-1.08503641,7.49235599,0.81489121,0.00461896,0.00126856,2000,500000
64,2.55512807,0.39136981,0.08580655,-1.06119635,6.67958179,0.76832268,0.00416679,0.00122464,2000,500000
64,2.58698980,0.38654965,0.07785507,-1.03744804,5.29705787,0.72187774,0.00334557,0.00117949,2000,500000
64,2.62072574,0.38157369,0.06627985,-1.01275600,4.07206551,0.66442651,0.00260541,0.00111412,2000,50000
64,2.65633590,0.37645841,0.06945568,-0.99117004,3.83483292,0.64266395,0.00248696,0.00110711,2000,50000
64,2.69382028,0.37122001,0.06319120,-0.96783188,3.14034928,0.60101179,0.00206532,0.00106478,2000,50000
64,2.73317888,0.36587433,0.05856718,-0.94452918,2.67345229,0.56984781,0.00178394,0.00103929,2000,50000
64,2.77441170,0.36043677,0.05222037,-0.92167480,2.42158095,0.53187536,0.00164025,0.00099952,2000,50000
64,2.81751874,0.35492222,0.05141263,-0.89893475,2.18666550,0.50712406,0.00150414,0.00098285,2000,50000
64,2.86250000,0.34934498,0.04847585,-0.87693877,1.82822760,0.46946225,0.00127766,0.00093914,2000,50000
