L,Temperatura,Beta,Magnetizacion,Energia,Susceptibilidad,Calor_Especifico,Varianza_Magnetizacion,Varianza_Energia,Termalizacion_Pasos,Mediciones_Pasos
32,1.73750000,0.57553957,0.96582746,-1.88528930,0.08315006,0.37731353,0.00014109,0.00111238,2000,50000
32,1.78248126,0.56101572,0.95948059,-1.86665555,0.10345654,0.41739986,0.00018009,0.00129510,2000,50000
32,1.82558830,0.54776863,0.95264090,-1.84774938,0.13026234,0.47434038,0.00023223,0.00154382,2000,50000
32,1.86682112,0.53566996,0.94436250,-1.82581367,0.17076291,0.53477345,0.00031131,0.00182002,2000,50000
32,1.90617972,0.52460951,0.93609359,-1.80489938,0.22574456,0.58960670,0.00042022,0.00209214,2000,50000
32,1.94366410,0.51449219,0.92860414,-1.78438477,0.23263707,0.61140592,0.00044157,0.00225565,2000,50000
32,1.97927426,0.50523569,0.91898754,-1.76107789,0.28000701,0.66617282,0.00054122,0.00254858,2000,50000
32,2.01301020,0.49676847,0.90685323,-1.73573904,0.40297464,0.74541345,0.00079218,0.00294978,2000,500000
32,2.04487193,0.48902818,0.89496963,-1.71129712,0.54535631,0.81930158,0.00108905,0.00334562,2000,500000
32,2.07485943,0.48196036,0.88097882,-1.68492891,0.82455914,0.91125158,0.00167075,0.00383103,2000,500000
32,2.10297272,0.47551734,0.86782926,-1.65979543,0.93182103,0.97101664,0.00191367,0.00419367,2000,500000
32,2.12921179,0.46965737,0.85161412,-1.63327496,1.32908607,1.05079322,0.00276358,0.00465216,2000,500000
32,2.15357663,0.46434382,0.83263172,-1.60569796,1.84656329,1.15238429,0.00388351,0.00521937,2000,500000
32,2.17606726,0.45954462,0.81286228,-1.57949602,3.02880777,1.25478672,0.00643642,0.00580249,2000,500000
32,2.19668367,0.45523168,0.78208775,-1.54776037,5.21298942,1.45585601,0.01118290,0.00686046,2000,500000
32,2.21542586,0.45138048,0.77012194,-1.52726455,4.72649717,1.44248025,0.01022579,0.00691392,2000,500000
32,2.23229384,0.44796970,0.74118848,-1.50003588,6.92542785,1.57687832,0.01509726,0.00767363,2000,500000
32,2.24728759,0.44498088,0.71782041,-1.47735528,8.13365070,1.63403960,0.01785025,0.00805898,2000,500000
32,2.26040712,0.44239818,0.68402753,-1.45184145,10.87205732,1.73415175,0.02399929,0.00865288,2000,500000
32,2.27165244,0.44020819,0.63028348,-1.42234602,17.09829540,1.94660130,0.03793104,0.00980982,2000,500000
32,2.28102353,0.43839969,0.61502716,-1.40946403,17.36315674,1.92545728,0.03867751,0.00978348,2000,500000
32,2.28852041,0.43696355,0.59527010,-1.39569929,18.51751675,1.90811882,0.04138449,0.00975922,2000,500000
32,2.29414307,0.43589261,0.56002967,-1.37799422,20.34175088,1.95438936,0.04557313,0.01004505,2000,500000
32,2.29789150,0.43518156,0.57142028,-1.37902581,19.42378816,1.96244901,0.04358765,0.01011946,2000,500000
32,2.29976572,0.43482690,0.56976672,-1.37631885,18.82355465,1.92575579,0.04227516,0.00994646,2000,500000
32,2.30023428,0.43473833,0.57259254,-1.37571062,17.48864050,1.88430454,0.03928513,0.00973633,2000,500000
