L,Temperatura,Beta,Magnetizacion,Energia,Susceptibilidad,Calor_Especifico,Varianza_Magnetizacion,Varianza_Energia,Termalizacion_Pasos,Mediciones_Pasos
32,2.30210850,0.43438439,0.56497778,-1.37269023,19.19041448,1.93306845,0.04314298,0.01000458,2000,500000
32,2.30585693,0.43367825,0.55863681,-1.36733573,18.70977723,1.81805094,0.04213093,0.00943997,2000,500000
32,2.31147959,0.43262333,0.52970725,-1.35291057,20.84388057,1.91872475,0.04705098,0.01001135,2000,500000
32,2.31897647,0.43122473,0.53150348,-1.34537073,18.41032327,1.81297295,0.04169249,0.00952103,2000,500000
32,2.32834756,0.42948914,0.47016437,-1.31882803,21.23799069,1.77141516,0.04829045,0.00937813,2000,500000
32,2.33959288,0.42742479,0.46099104,-1.30506736,20.16126372,1.70757672,0.04606362,0.00912769,2000,500000
32,2.35271241,0.42504132,0.42285485,-1.28361921,20.65974872,1.67011581,0.04746723,0.00902785,2000,500000
32,2.36770616,0.42234971,0.37536136,-1.25678909,18.83095420,1.47910702,0.04354118,0.00809758,2000,500000
32,2.38457414,0.41936209,0.34863400,-1.23478762,17.46476214,1.40112663,0.04066994,0.00778035,2000,500000
32,2.40331633,0.41609171,0.31738776,-1.21021780,15.96552787,1.28316952,0.03747091,0.00723779,2000,500000
32,2.42393274,0.41255270,0.28008951,-1.18447696,13.99801562,1.17826964,0.03313501,0.00676061,2000,500000
32,2.44642337,0.40875999,0.24667044,-1.15870379,11.74468050,1.03851748,0.02805904,0.00606984,2000,500000
32,2.47078821,0.40472914,0.23454294,-1.13688967,10.12412631,0.97475228,0.02442829,0.00581119,2000,500000
32,2.49702728,0.40047620,0.20194645,-1.10950248,8.31079394,0.88370120,0.02026590,0.00538086,2000,500000
32,2.52514057,0.39601756,0.18050451,-1.08456187,6.90949678,0.82403622,0.01703853,0.00513118,2000,500000
32,2.55512807,0.39136981,0.16904329,-1.06168255,5.98914290,0.77228951,0.01494436,0.00492386,2000,500000
32,2.58698980,0.38654965,0.15779742,-1.03755531,5.24516936,0.73180899,0.01325117,0.00478285,2000,500000
32,2.62072574,0.38157369,0.14117129,-1.01440617,4.51849824,0.69196631,0.01156420,0.00464118,2000,50000
32,2.65633590,0.37645841,0.14356633,-0.99167063,4.30873390,0.63276399,0.01117719,0.00436021,2000,50000
32,2.69382028,0.37122001,0.12569563,-0.96904695,3.46164517,0.60082795,0.00910649,0.00425782,2000,50000
32,2.73317888,0.36587433,0.11395848,-0.94195813,2.68663511,0.56951438,0.00717095,0.00415471,2000,50000
32,2.77441170,0.36043677,0.10831613,-0.92328094,2.50409024,0.54613872,0.00678455,0.00410530,2000,50000
32,2.81751874,0.35492222,0.10425691,-0.89924516,2.20457042,0.49624175,0.00606584,0.00384704,2000,50000
32,2.86250000,0.34934498,0.09580801,-0.87751891,1.88132328,0.47623749,0.00525907,0.00381079,2000,50000
