Temperatura,Cv,Chi,Magnetizacion,Energia
2.183518098247630324e+00,1.293761100591021229e+00,2.439624382415849446e+00,8.085909765625000079e-01,-1.570275371093750039e+00
2.197738149956909304e+00,1.342656555709538013e+00,3.451857945259073635e+00,7.902709667968750296e-01,-1.550494843749999907e+00
2.210665469692617346e+00,1.455878578073844798e+00,4.914442804194496972e+00,7.731766308593750470e-01,-1.531877109375000101e+00
2.222300057454754452e+00,1.616315284290458454e+00,8.723656497132491694e+00,7.487370410156249934e-01,-1.513073339843749920e+00
2.232641913243321063e+00,1.849437647541470220e+00,1.395455011043529581e+01,7.175904003906250495e-01,-1.491309199218749937e+00
2.241691037058316738e+00,1.750609712214622471e+00,1.388594344042514628e+01,7.101574121093749969e-01,-1.481329277343750084e+00
2.249447428899741475e+00,1.792400785187428403e+00,1.197925477177296827e+01,6.991390820312499699e-01,-1.468157558593750078e+00
2.255911088767595718e+00,2.279290349963681628e+00,3.871642997988696067e+01,6.313949511718750518e-01,-1.443229960937499889e+00
2.261082016661879024e+00,2.030214348351992992e+00,3.505717112355078058e+01,6.372001757812499889e-01,-1.440265410156249981e+00
2.264960212582591392e+00,2.285622771782728879e+00,4.892934648192725433e+01,6.106126074218749533e-01,-1.431229570312499977e+00
2.267545676529732823e+00,2.350262586559849431e+00,7.034354079714958630e+01,5.730980078124999766e-01,-1.422728496093750072e+00
2.268838408503303761e+00,2.425183499630782169e+00,6.213013652109232510e+01,5.668071386718750437e-01,-1.419453476562499983e+00
2.269161591496696495e+00,2.082660738097558362e+00,4.544946816011066915e+01,5.909753808593749547e-01,-1.421526308593749954e+00
2.270454323470267433e+00,2.110748733700160251e+00,4.048768461063236401e+01,6.238944140625000134e-01,-1.428807480468750057e+00
2.273039787417408863e+00,2.047134711231723525e+00,3.772750274212268806e+01,5.977233984374999975e-01,-1.417640312500000110e+00
2.276917983338121232e+00,2.108441265638101303e+00,4.783121169850242893e+01,5.789158789062499588e-01,-1.409393632812500075e+00
2.282088911232404538e+00,2.363748811024927399e+00,5.931911639533075942e+01,5.379776269531250099e-01,-1.395311367187499929e+00
2.288552571100258781e+00,2.042977933325711870e+00,3.455749931959852006e+01,5.655260253906250201e-01,-1.390755566406250088e+00
2.296308962941683518e+00,2.090914045540514188e+00,7.820709712799826718e+01,4.229411523437500153e-01,-1.359696621093750002e+00
2.305358086756679192e+00,2.102139328522288686e+00,7.657972772211391543e+01,3.876165429687499775e-01,-1.342676894531249943e+00
2.315699942545245804e+00,2.030851645042123010e+00,6.807557900044749033e+01,3.683056933593750193e-01,-1.325702675781250006e+00
2.327334530307382909e+00,1.643960679887374932e+00,5.857086012877183379e+01,2.733476953125000275e-01,-1.299737656250000040e+00
2.340261850043090952e+00,1.487757996054601017e+00,4.649913081387217773e+01,2.555023046875000148e-01,-1.282528242187499945e+00
2.354481901752370376e+00,1.403183081718215819e+00,4.162664478979645821e+01,2.245702246093750076e-01,-1.260291875000000061e+00
2.369994685435219850e+00,1.209416028486093531e+00,2.797711160514766249e+01,1.801298144531250089e-01,-1.238813242187499997e+00
2.386800201091640261e+00,1.193994160093565071e+00,2.644044305008975826e+01,1.701560546875000024e-01,-1.219401093749999943e+00
2.404898448721632054e+00,1.120299918664479311e+00,2.288932176682819986e+01,1.602040039062500032e-01,-1.200458378906249957e+00
2.424289428325193896e+00,1.028584537304297886e+00,1.625847707153315369e+01,1.342589648437499950e-01,-1.177076425781250046e+00
2.444973139902327119e+00,9.879598618027328749e-01,1.469798426928507240e+01,1.245931738281250006e-01,-1.155653066406250096e+00
2.466949583453030836e+00,9.249411978663990563e-01,1.185636700955368816e+01,1.124826074218750055e-01,-1.136529433593749916e+00
2.490218758977305491e+00,8.801306631805143610e-01,9.718922264007289868e+00,1.040036914062500012e-01,-1.114559960937500094e+00
2.514780666475151083e+00,8.411927031666538435e-01,8.096511148542735015e+00,9.676186523437499409e-02,-1.093598613281250076e+00
2.540635305946567613e+00,8.109559478175540903e-01,9.314872527850354800e+00,1.050405273437499953e-01,-1.076324023437499999e+00
2.567782677391554191e+00,7.516851819768726184e-01,6.184667666329087155e+00,7.871630859375000622e-02,-1.048641796874999921e+00
2.596222780810112152e+00,7.110883435089290217e-01,6.043669762896460185e+00,7.892812500000000175e-02,-1.027692968750000047e+00
2.625955616202241050e+00,6.203499210234051375e-01,4.151745452519596036e+00,6.895654296875000644e-02,-1.008147460937500073e+00
2.656981183567940441e+00,6.093746878706229886e-01,3.764131582842357382e+00,6.224951171874999745e-02,-9.913394531250000474e-01
2.689299482907210770e+00,6.189317505195193192e-01,3.356896311847646697e+00,6.622851562499999789e-02,-9.701037109375000300e-01
2.722910514220052036e+00,5.660237567326676933e-01,2.775504597766093262e+00,5.816787109374999681e-02,-9.505343750000000425e-01
2.757814277506463796e+00,5.555479963359066797e-01,2.630172977339560347e+00,5.596152343750000063e-02,-9.294244140624999817e-01
2.794010772766446493e+00,5.314747115210238793e-01,2.482245433271514923e+00,5.256748046874999691e-02,-9.107953125000000094e-01
2.831500000000000128e+00,5.054593533631531743e-01,2.116215038945235882e+00,4.993662109375000130e-02,-8.924541015625000462e-01
