Temperatura,Cv,Chi,Magnetizacion,Energia
1.706500000000000128e+00,6.563269344446895026e+00,3.139724135748417098e+02,7.095119140625000265e-01,-1.845939257812500012e+00
1.743989227233553763e+00,4.057802603067364178e-01,9.202873913563713870e-02,9.645938476562500030e-01,-1.881969531249999994e+00
1.780185722493536460e+00,4.282316846899603124e-01,1.059971892732873844e-01,9.596724609375000270e-01,-1.867528515625000107e+00
1.815089485779948442e+00,4.536033041053446069e-01,1.220890886261322000e-01,9.547138671874999538e-01,-1.853275195312499957e+00
1.848700517092789486e+00,4.869944350994874216e-01,1.437083028076002467e-01,9.486995117187499993e-01,-1.837002343750000044e+00
1.881018816432059815e+00,5.423067541039484629e-01,1.745072302746183690e-01,9.425757812499999666e-01,-1.820456054687499936e+00
1.912044383797759428e+00,5.607011314251630907e-01,2.080992536524908509e-01,9.354533203124999474e-01,-1.802377148437499965e+00
1.941777219189888104e+00,5.895113043917682427e-01,2.325789815957436668e-01,9.288753906250000192e-01,-1.785276562499999997e+00
1.970217322608446064e+00,6.412129094981895427e-01,3.142573152240964451e-01,9.200135742187499632e-01,-1.765906250000000011e+00
1.997364694053433087e+00,7.917685682088574373e-01,4.144107723206846283e-01,9.114244140624999657e-01,-1.745839453125000107e+00
2.023219333524849173e+00,7.430687530061248491e-01,4.451771991054629396e-01,9.033833691406250033e-01,-1.728475449218749960e+00
2.047781241022694765e+00,8.379230301835252082e-01,6.048061037852909827e-01,8.929262500000000324e-01,-1.707593867187499947e+00
2.071050416546969419e+00,8.813930784285570752e-01,6.590825954634611517e-01,8.838009960937499576e-01,-1.689029414062499956e+00
2.093026860097673136e+00,9.323196336014629715e-01,8.710602697018865470e-01,8.722374999999999989e-01,-1.668653769531249997e+00
2.113710571674806360e+00,1.000119290432823105e+00,9.891632532460596927e-01,8.615486523437499988e-01,-1.648880058593749975e+00
2.133101551278368646e+00,1.076321276336331234e+00,1.642546689059914522e+00,8.470926464843749892e-01,-1.627786699218749966e+00
2.151199798908359995e+00,1.183793432631453202e+00,2.562447958685557303e+00,8.330554687500000277e-01,-1.608201894531249954e+00
2.168005314564780406e+00,1.196837599127271723e+00,2.035935743094007044e+00,8.211810644531249981e-01,-1.588950332031249912e+00
