# Temperature,Susceptibility
2.256917,13.02746142
2.262632,21.57338877
2.268346,22.11020584
2.274060,36.28002211
2.279774,26.61671370
2.285489,32.28550134
2.291203,39.82723773
2.296917,37.40176411
2.302632,33.03224608
2.308346,26.35737730
2.314060,30.53221652
2.319774,34.78413202
2.325489,37.24936782
2.331203,34.35562272
2.336917,31.39023750
2.342632,31.31414721
2.348346,33.50470385
2.354060,30.21223683
2.359774,27.65018730
2.365489,25.83186384
2.371203,28.35659967
2.376917,24.23344408
